Shapes:
Python: (3, 3, 21, 501)
MATLAB: (3, 3, 21, 501)
✅ Match [2, 2, 0, 296]: Python=0.038517847870991134, MATLAB=0.0385178480823217
✅ Match [2, 2, 0, 297]: Python=0.018842224596504083, MATLAB=0.01884222483590806
✅ Match [2, 2, 0, 298]: Python=0.002096124551900785, MATLAB=0.002096124614384126
✅ Match [2, 2, 0, 299]: Python=0.006224254080245338, MATLAB=0.006224254026505694
✅ Match [2, 2, 0, 300]: Python=0.0031457999195279945, MATLAB=0.003145799955987001
✅ Match [2, 2, 0, 301]: Python=0.030020498374832925, MATLAB=0.030020498365172007
✅ Match [2, 2, 0, 302]: Python=0.019727362896944982, MATLAB=0.019727362845006667
✅ Match [2, 2, 0, 303]: Python=0.001549869833779109, MATLAB=0.0015498698371223378
✅ Match [2, 2, 0, 304]: Python=0.028827960315494963, MATLAB=0.028827960320351682
✅ Match [2, 2, 0, 305]: Python=0.010407394235375414, MATLAB=0.010407394393766426
